Date,Toy_ID,Toy_Name,Category,Sales,Price
2018-01-11,B01,Crayon,Art,8.0,50
2018-01-11,B02,Clay,Art,4.0,20
2018-01-11,C01,Doll,Stress Relief,44.0,100
2018-01-12,A01,Robot,Building,10.0,250
2018-01-12,A02,Lego,Building,6.0,200
2018-01-12,B01,Crayon,Art,10.0,50
2018-01-12,B02,Clay,Art,20.0,20
2018-01-12,C01,Doll,Stress Relief,48.0,100
2018-01-13,A01,Robot,Building,16.0,250
2018-01-13,A02,Lego,Building,4.0,200
2018-01-13,B01,Crayon,Art,8.0,50
2018-01-13,B02,Clay,Art,28.0,20
2018-01-13,C01,Doll,Stress Relief,48.0,100
2018-01-14,A01,Robot,Building,10.0,250
2018-01-14,A02,Lego,Building,6.0,200
2018-01-14,B01,Crayon,Art,12.0,50
2018-01-14,B02,Clay,Art,8.0,20
2018-01-14,C01,Doll,Stress Relief,42.0,100
2018-01-15,A01,Robot,Building,16.0,250
2018-01-15,A02,Lego,Building,6.0,200
2018-01-15,B01,Crayon,Art,4.0,50
2018-01-15,B02,Clay,Art,10.0,20
2018-01-15,C01,Doll,Stress Relief,42.0,100
2018-01-16,A01,Robot,Building,12.0,250
2018-01-16,A02,Lego,Building,4.0,200
2018-01-16,B01,Crayon,Art,4.0,50
2018-01-16,B02,Clay,Art,26.0,20
2018-01-16,C01,Doll,Stress Relief,48.0,100
2018-01-17,A01,Robot,Building,10.0,250
2018-01-17,A02,Lego,Building,4.0,200
2018-01-17,B01,Crayon,Art,10.0,50
2018-01-17,B02,Clay,Art,14.0,20
2018-01-17,C01,Doll,Stress Relief,40.0,100
2018-01-18,A01,Robot,Building,12.0,250
2018-01-18,A02,Lego,Building,6.0,200
2018-01-18,B01,Crayon,Art,6.0,50
2018-01-18,B02,Clay,Art,28.0,20
2018-01-18,C01,Doll,Stress Relief,40.0,100
2018-01-19,A01,Robot,Building,10.0,250
2018-01-19,A02,Lego,Building,4.0,200
2018-01-19,B01,Crayon,Art,10.0,50
2018-01-19,B02,Clay,Art,10.0,20
2018-01-19,C01,Doll,Stress Relief,42.0,100
2018-01-20,A01,Robot,Building,14.0,250
2018-01-20,A02,Lego,Building,6.0,200
2018-01-20,B01,Crayon,Art,8.0,50
2018-01-20,B02,Clay,Art,20.0,20
2018-01-20,C01,Doll,Stress Relief,50.0,100
2018-01-21,A01,Robot,Building,18.0,250
2018-01-21,A02,Lego,Building,6.0,200
2018-01-21,B01,Crayon,Art,2.0,50
2018-01-21,B02,Clay,Art,24.0,20
2018-01-21,C01,Doll,Stress Relief,50.0,100
2018-01-22,A01,Robot,Building,14.0,250
2018-01-22,A02,Lego,Building,6.0,200
2018-01-22,B01,Crayon,Art,12.0,50
2018-01-22,B02,Clay,Art,10.0,20
2018-01-22,C01,Doll,Stress Relief,42.0,100
2018-01-23,A01,Robot,Building,16.0,250
2018-01-23,A02,Lego,Building,4.0,200
2018-01-23,B01,Crayon,Art,2.0,50
2018-01-23,B02,Clay,Art,12.0,20
2018-01-23,C01,Doll,Stress Relief,40.0,100
2018-01-24,A01,Robot,Building,12.0,250
2018-01-24,A02,Lego,Building,4.0,200
2018-01-24,B01,Crayon,Art,6.0,50
2018-01-24,B02,Clay,Art,14.0,20
2018-01-24,C01,Doll,Stress Relief,40.0,100
2018-01-25,A01,Robot,Building,16.0,250
2018-01-25,A02,Lego,Building,6.0,200
2018-01-25,B01,Crayon,Art,10.0,50
2018-01-25,B02,Clay,Art,16.0,20
2018-01-25,C01,Doll,Stress Relief,40.0,100
2018-01-26,A01,Robot,Building,14.0,250
2018-01-26,A02,Lego,Building,4.0,200
2018-01-26,B01,Crayon,Art,10.0,50
2018-01-26,B02,Clay,Art,6.0,20
2018-01-26,C01,Doll,Stress Relief,44.0,100
2018-01-27,A01,Robot,Building,18.0,250
2018-01-27,A02,Lego,Building,4.0,200
2018-01-27,B01,Crayon,Art,8.0,50
2018-01-27,B02,Clay,Art,26.0,20
2018-01-27,C01,Doll,Stress Relief,46.0,100
2018-01-28,A01,Robot,Building,16.0,250
2018-01-28,A02,Lego,Building,4.0,200
2018-01-28,B01,Crayon,Art,6.0,50
2018-01-28,B02,Clay,Art,30.0,20
2018-01-28,C01,Doll,Stress Relief,50.0,100
2018-01-29,A01,Robot,Building,12.0,250
2018-01-29,A02,Lego,Building,6.0,200
2018-01-29,B01,Crayon,Art,2.0,50
2018-01-29,B02,Clay,Art,4.0,20
2018-01-29,C01,Doll,Stress Relief,50.0,100
2018-01-30,A01,Robot,Building,14.0,250
2018-01-30,A02,Lego,Building,6.0,200
2018-01-30,B01,Crayon,Art,12.0,50
2018-01-30,B02,Clay,Art,16.0,20
2018-01-30,C01,Doll,Stress Relief,50.0,100
2018-01-31,A01,Robot,Building,16.0,250
2018-01-31,A02,Lego,Building,6.0,200
2018-01-31,B01,Crayon,Art,2.0,50
2018-01-31,B02,Clay,Art,4.0,20
2018-01-31,C01,Doll,Stress Relief,50.0,100
2018-02-01,A01,Robot,Building,12.0,250
2018-02-01,A02,Lego,Building,6.0,200
2018-02-01,B01,Crayon,Art,6.0,50
2018-02-01,B02,Clay,Art,12.0,20
2018-02-01,C01,Doll,Stress Relief,44.0,100
2018-02-02,A01,Robot,Building,12.0,250
2018-02-02,A02,Lego,Building,6.0,200
2018-02-02,B01,Crayon,Art,4.0,50
2018-02-02,B02,Clay,Art,14.0,20
2018-02-02,C01,Doll,Stress Relief,44.0,100
2018-02-03,A01,Robot,Building,18.0,250
2018-02-03,A02,Lego,Building,6.0,200
2018-02-03,B01,Crayon,Art,4.0,50
2018-02-03,B02,Clay,Art,14.0,20
2018-02-03,C01,Doll,Stress Relief,42.0,100
2018-02-04,A01,Robot,Building,18.0,250
2018-02-04,A02,Lego,Building,6.0,200
2018-02-04,B01,Crayon,Art,8.0,50
2018-02-04,B02,Clay,Art,26.0,20
2018-02-04,C01,Doll,Stress Relief,46.0,100
2018-02-05,A01,Robot,Building,10.0,250
2018-02-05,A02,Lego,Building,6.0,200
2018-02-05,B01,Crayon,Art,4.0,50
2018-02-05,B02,Clay,Art,22.0,20
2018-02-05,C01,Doll,Stress Relief,44.0,100
2018-02-06,A01,Robot,Building,20.0,250
2018-02-06,A02,Lego,Building,6.0,200
2018-02-06,B01,Crayon,Art,14.0,50
2018-02-06,B02,Clay,Art,30.0,20
2018-02-06,C01,Doll,Stress Relief,40.0,100
2018-02-07,A01,Robot,Building,14.0,250
2018-02-07,A02,Lego,Building,6.0,200
2018-02-07,B01,Crayon,Art,4.0,50
2018-02-07,B02,Clay,Art,4.0,20
2018-02-07,C01,Doll,Stress Relief,42.0,100
2018-02-08,A01,Robot,Building,16.0,250
2018-02-08,A02,Lego,Building,6.0,200
2018-02-08,B01,Crayon,Art,10.0,50
2018-02-08,B02,Clay,Art,22.0,20
2018-02-08,C01,Doll,Stress Relief,40.0,100
2018-02-09,A01,Robot,Building,10.0,250
2018-02-09,A02,Lego,Building,6.0,200
2018-02-09,B01,Crayon,Art,6.0,50
2018-02-09,B02,Clay,Art,10.0,20
2018-02-09,C01,Doll,Stress Relief,40.0,100
2018-02-10,A01,Robot,Building,18.0,250
2018-02-10,A02,Lego,Building,6.0,200
2018-02-10,B01,Crayon,Art,10.0,50
2018-02-10,B02,Clay,Art,18.0,20
2018-02-10,C01,Doll,Stress Relief,42.0,100
2018-02-11,A01,Robot,Building,14.0,250
2018-02-11,A02,Lego,Building,4.0,200
2018-02-11,B01,Crayon,Art,6.0,50
2018-02-11,B02,Clay,Art,22.0,20
2018-02-11,C01,Doll,Stress Relief,48.0,100
2018-02-12,A01,Robot,Building,10.0,250
2018-02-12,A02,Lego,Building,4.0,200
2018-02-12,B01,Crayon,Art,14.0,50
2018-02-12,B02,Clay,Art,14.0,20
2018-02-12,C01,Doll,Stress Relief,42.0,100
2018-02-13,A01,Robot,Building,14.0,250
2018-02-13,A02,Lego,Building,6.0,200
2018-02-13,B01,Crayon,Art,10.0,50
2018-02-13,B02,Clay,Art,14.0,20
2018-02-13,C01,Doll,Stress Relief,42.0,100
2018-02-14,A01,Robot,Building,20.0,250
2018-02-14,A02,Lego,Building,6.0,200
2018-02-14,B01,Crayon,Art,14.0,50
2018-02-14,B02,Clay,Art,18.0,20
2018-02-14,C01,Doll,Stress Relief,48.0,100
2018-02-15,A01,Robot,Building,16.0,250
2018-02-15,A02,Lego,Building,4.0,200
2018-02-15,B01,Crayon,Art,4.0,50
2018-02-15,B02,Clay,Art,10.0,20
2018-02-15,C01,Doll,Stress Relief,50.0,100
2018-02-16,A01,Robot,Building,20.0,250
2018-02-16,A02,Lego,Building,6.0,200
2018-02-16,B01,Crayon,Art,2.0,50
2018-02-16,B02,Clay,Art,4.0,20
2018-02-16,C01,Doll,Stress Relief,44.0,100
2018-02-17,A01,Robot,Building,20.0,250
2018-02-17,A02,Lego,Building,4.0,200
2018-02-17,B01,Crayon,Art,14.0,50
2018-02-17,B02,Clay,Art,4.0,20
2018-02-17,C01,Doll,Stress Relief,40.0,100
2018-02-18,A01,Robot,Building,10.0,250
2018-02-18,A02,Lego,Building,6.0,200
2018-02-18,B01,Crayon,Art,2.0,50
2018-02-18,B02,Clay,Art,22.0,20
2018-02-18,C01,Doll,Stress Relief,44.0,100
2018-02-19,A01,Robot,Building,10.0,250
2018-02-19,A02,Lego,Building,6.0,200
2018-02-19,B01,Crayon,Art,4.0,50
2018-02-19,B02,Clay,Art,22.0,20
2018-02-19,C01,Doll,Stress Relief,48.0,100
2018-02-20,A01,Robot,Building,10.0,250
2018-02-20,A02,Lego,Building,4.0,200
2018-02-20,B01,Crayon,Art,10.0,50
2018-02-20,B02,Clay,Art,18.0,20
2018-02-20,C01,Doll,Stress Relief,40.0,100
2018-02-21,A01,Robot,Building,10.0,250
2018-02-21,A02,Lego,Building,4.0,200
2018-02-21,B01,Crayon,Art,8.0,50
2018-02-21,B02,Clay,Art,6.0,20
2018-02-21,C01,Doll,Stress Relief,42.0,100
2018-02-22,A01,Robot,Building,18.0,250
2018-02-22,A02,Lego,Building,6.0,200
2018-02-22,B01,Crayon,Art,4.0,50
2018-02-22,B02,Clay,Art,2.0,20
2018-02-22,C01,Doll,Stress Relief,48.0,100
2018-02-23,A01,Robot,Building,12.0,250
2018-02-23,A02,Lego,Building,4.0,200
2018-02-23,B01,Crayon,Art,2.0,50
2018-02-23,B02,Clay,Art,18.0,20
2018-02-23,C01,Doll,Stress Relief,46.0,100
2018-02-24,A01,Robot,Building,18.0,250
2018-02-24,A02,Lego,Building,4.0,200
2018-02-24,B01,Crayon,Art,6.0,50
2018-02-24,B02,Clay,Art,30.0,20
2018-02-24,C01,Doll,Stress Relief,46.0,100
2018-02-25,A01,Robot,Building,20.0,250
2018-02-25,A02,Lego,Building,6.0,200
2018-02-25,B01,Crayon,Art,4.0,50
2018-02-25,B02,Clay,Art,20.0,20
2018-02-25,C01,Doll,Stress Relief,46.0,100
2018-02-26,A01,Robot,Building,18.0,250
2018-02-26,A02,Lego,Building,6.0,200
2018-02-26,B01,Crayon,Art,2.0,50
2018-02-26,B02,Clay,Art,16.0,20
2018-02-26,C01,Doll,Stress Relief,44.0,100
2018-02-27,A01,Robot,Building,16.0,250
2018-02-27,A02,Lego,Building,4.0,200
2018-02-27,B01,Crayon,Art,12.0,50
2018-02-27,B02,Clay,Art,30.0,20
2018-02-27,C01,Doll,Stress Relief,46.0,100
2018-02-28,A01,Robot,Building,10.0,250
2018-02-28,A02,Lego,Building,6.0,200
2018-02-28,B01,Crayon,Art,14.0,50
2018-02-28,B02,Clay,Art,20.0,20
2018-02-28,C01,Doll,Stress Relief,40.0,100
2018-03-01,A01,Robot,Building,5.0,250
2018-03-01,A02,Lego,Building,2.0,200
2018-03-01,B01,Crayon,Art,3.0,50
2018-03-01,B02,Clay,Art,9.0,20
2018-03-01,C01,Doll,Stress Relief,21.0,100
2018-03-02,A01,Robot,Building,8.0,250
2018-03-02,A02,Lego,Building,2.0,200
2018-03-02,B01,Crayon,Art,2.0,50
2018-03-02,B02,Clay,Art,6.0,20
2018-03-02,C01,Doll,Stress Relief,20.0,100
2018-03-03,A01,Robot,Building,10.0,250
2018-03-03,A02,Lego,Building,3.0,200
2018-03-03,B01,Crayon,Art,4.0,50
2018-03-03,B02,Clay,Art,6.0,20
2018-03-03,C01,Doll,Stress Relief,21.0,100
2018-03-04,A01,Robot,Building,7.0,250
2018-03-04,A02,Lego,Building,3.0,200
2018-03-04,B01,Crayon,Art,3.0,50
2018-03-04,B02,Clay,Art,4.0,20
2018-03-04,C01,Doll,Stress Relief,22.0,100
2018-03-05,A01,Robot,Building,6.0,250
2018-03-05,A02,Lego,Building,2.0,200
2018-03-05,B01,Crayon,Art,1.0,50
2018-03-05,B02,Clay,Art,14.0,20
2018-03-05,C01,Doll,Stress Relief,22.0,100
2018-03-06,A01,Robot,Building,5.0,250
2018-03-06,A02,Lego,Building,2.0,200
2018-03-06,B01,Crayon,Art,1.0,50
2018-03-06,B02,Clay,Art,7.0,20
2018-03-06,C01,Doll,Stress Relief,20.0,100
2018-03-07,A01,Robot,Building,8.0,250
2018-03-07,A02,Lego,Building,3.0,200
2018-03-07,B01,Crayon,Art,4.0,50
2018-03-07,B02,Clay,Art,13.0,20
2018-03-07,C01,Doll,Stress Relief,20.0,100
2018-03-08,A01,Robot,Building,10.0,250
2018-03-08,A02,Lego,Building,3.0,200
2018-03-08,B01,Crayon,Art,5.0,50
2018-03-08,B02,Clay,Art,7.0,20
2018-03-08,C01,Doll,Stress Relief,22.0,100
2018-03-09,A01,Robot,Building,6.0,250
2018-03-09,A02,Lego,Building,3.0,200
2018-03-09,B01,Crayon,Art,5.0,50
2018-03-09,B02,Clay,Art,6.0,20
2018-03-09,C01,Doll,Stress Relief,24.0,100
2018-03-10,A01,Robot,Building,8.0,250
2018-03-10,A02,Lego,Building,2.0,200
2018-03-10,B01,Crayon,Art,4.0,50
2018-03-10,B02,Clay,Art,3.0,20
2018-03-10,C01,Doll,Stress Relief,24.0,100
2018-03-11,A01,Robot,Building,5.0,250
2018-03-11,A02,Lego,Building,3.0,200
2018-03-11,B01,Crayon,Art,4.0,50
2018-03-11,B02,Clay,Art,8.0,20
2018-03-11,C01,Doll,Stress Relief,22.0,100
2018-03-12,A01,Robot,Building,10.0,250
2018-03-12,A02,Lego,Building,3.0,200
2018-03-12,B01,Crayon,Art,7.0,50
2018-03-12,B02,Clay,Art,11.0,20
2018-03-12,C01,Doll,Stress Relief,20.0,100
2018-03-13,A01,Robot,Building,5.0,250
2018-03-13,A02,Lego,Building,2.0,200
2018-03-13,B01,Crayon,Art,5.0,50
2018-03-13,B02,Clay,Art,1.0,20
2018-03-13,C01,Doll,Stress Relief,21.0,100
2018-03-14,A01,Robot,Building,5.0,250
2018-03-14,A02,Lego,Building,3.0,200
2018-03-14,B01,Crayon,Art,5.0,50
2018-03-14,B02,Clay,Art,12.0,20
2018-03-14,C01,Doll,Stress Relief,24.0,100
2018-03-15,A01,Robot,Building,7.0,250
2018-03-15,A02,Lego,Building,2.0,200
2018-03-15,B01,Crayon,Art,3.0,50
2018-03-15,B02,Clay,Art,12.0,20
2018-03-15,C01,Doll,Stress Relief,24.0,100
2018-03-16,A01,Robot,Building,6.0,250
2018-03-16,A02,Lego,Building,2.0,200
2018-03-16,B01,Crayon,Art,3.0,50
2018-03-16,B02,Clay,Art,5.0,20
2018-03-16,C01,Doll,Stress Relief,23.0,100
2018-03-17,A01,Robot,Building,7.0,250
2018-03-17,A02,Lego,Building,2.0,200
2018-03-17,B01,Crayon,Art,1.0,50
2018-03-17,B02,Clay,Art,14.0,20
2018-03-17,C01,Doll,Stress Relief,24.0,100
2018-03-18,A01,Robot,Building,6.0,250
2018-03-18,A02,Lego,Building,2.0,200
2018-03-18,B01,Crayon,Art,4.0,50
2018-03-18,B02,Clay,Art,5.0,20
2018-03-18,C01,Doll,Stress Relief,25.0,100
2018-03-19,A01,Robot,Building,6.0,250
2018-03-19,A02,Lego,Building,3.0,200
2018-03-19,B01,Crayon,Art,1.0,50
2018-03-19,B02,Clay,Art,2.0,20
2018-03-19,C01,Doll,Stress Relief,25.0,100
2018-03-20,A01,Robot,Building,9.0,250
2018-03-20,A02,Lego,Building,3.0,200
2018-03-20,B01,Crayon,Art,1.0,50
2018-03-20,B02,Clay,Art,15.0,20
2018-03-20,C01,Doll,Stress Relief,24.0,100
2018-03-21,A01,Robot,Building,7.0,250
2018-03-21,A02,Lego,Building,3.0,200
2018-03-21,B01,Crayon,Art,3.0,50
2018-03-21,B02,Clay,Art,10.0,20
2018-03-21,C01,Doll,Stress Relief,21.0,100
2018-03-22,A01,Robot,Building,8.0,250
2018-03-22,A02,Lego,Building,2.0,200
2018-03-22,B01,Crayon,Art,4.0,50
2018-03-22,B02,Clay,Art,6.0,20
2018-03-22,C01,Doll,Stress Relief,25.0,100
2018-03-23,A01,Robot,Building,10.0,250
2018-03-23,A02,Lego,Building,3.0,200
2018-03-23,B01,Crayon,Art,5.0,50
2018-03-23,B02,Clay,Art,10.0,20
2018-03-23,C01,Doll,Stress Relief,22.0,100
2018-03-24,A01,Robot,Building,8.0,250
2018-03-24,A02,Lego,Building,3.0,200
2018-03-24,B01,Crayon,Art,7.0,50
2018-03-24,B02,Clay,Art,1.0,20
2018-03-24,C01,Doll,Stress Relief,24.0,100
2018-03-25,A01,Robot,Building,8.0,250
2018-03-25,A02,Lego,Building,2.0,200
2018-03-25,B01,Crayon,Art,7.0,50
2018-03-25,B02,Clay,Art,12.0,20
2018-03-25,C01,Doll,Stress Relief,20.0,100
2018-03-26,A01,Robot,Building,6.0,250
2018-03-26,A02,Lego,Building,2.0,200
2018-03-26,B01,Crayon,Art,6.0,50
2018-03-26,B02,Clay,Art,14.0,20
2018-03-26,C01,Doll,Stress Relief,24.0,100
2018-03-27,A01,Robot,Building,5.0,250
2018-03-27,A02,Lego,Building,3.0,200
2018-03-27,B01,Crayon,Art,1.0,50
2018-03-27,B02,Clay,Art,7.0,20
2018-03-27,C01,Doll,Stress Relief,24.0,100
2018-03-28,A01,Robot,Building,5.0,250
2018-03-28,A02,Lego,Building,3.0,200
2018-03-28,B01,Crayon,Art,7.0,50
2018-03-28,B02,Clay,Art,14.0,20
2018-03-28,C01,Doll,Stress Relief,24.0,100
2018-03-29,A01,Robot,Building,10.0,250
2018-03-29,A02,Lego,Building,3.0,200
2018-03-29,B01,Crayon,Art,7.0,50
2018-03-29,B02,Clay,Art,9.0,20
2018-03-29,C01,Doll,Stress Relief,21.0,100
2018-03-30,A01,Robot,Building,6.0,250
2018-03-30,A02,Lego,Building,2.0,200
2018-03-30,B01,Crayon,Art,1.0,50
2018-03-30,B02,Clay,Art,7.0,20
2018-03-30,C01,Doll,Stress Relief,24.0,100
2018-03-31,A01,Robot,Building,7.0,250
2018-03-31,A02,Lego,Building,3.0,200
2018-03-31,B01,Crayon,Art,1.0,50
2018-03-31,B02,Clay,Art,8.0,20
2018-03-31,C01,Doll,Stress Relief,25.0,100
2018-04-01,A01,Robot,Building,9.0,250
2018-04-01,A02,Lego,Building,3.0,200
2018-04-01,B01,Crayon,Art,5.0,50
2018-04-01,B02,Clay,Art,5.0,20
2018-04-01,C01,Doll,Stress Relief,22.0,100
2018-04-02,A01,Robot,Building,9.0,250
2018-04-02,A02,Lego,Building,2.0,200
2018-04-02,B01,Crayon,Art,6.0,50
2018-04-02,B02,Clay,Art,2.0,20
2018-04-02,C01,Doll,Stress Relief,20.0,100
2018-04-03,A01,Robot,Building,6.0,250
2018-04-03,A02,Lego,Building,2.0,200
2018-04-03,B01,Crayon,Art,7.0,50
2018-04-03,B02,Clay,Art,8.0,20
2018-04-03,C01,Doll,Stress Relief,21.0,100
2018-04-04,A01,Robot,Building,6.0,250
2018-04-04,A02,Lego,Building,3.0,200
2018-04-04,B01,Crayon,Art,4.0,50
2018-04-04,B02,Clay,Art,11.0,20
2018-04-04,C01,Doll,Stress Relief,25.0,100
2018-04-05,A01,Robot,Building,6.0,250
2018-04-05,A02,Lego,Building,3.0,200
2018-04-05,B01,Crayon,Art,5.0,50
2018-04-05,B02,Clay,Art,7.0,20
2018-04-05,C01,Doll,Stress Relief,23.0,100
2018-04-06,A01,Robot,Building,9.0,250
2018-04-06,A02,Lego,Building,3.0,200
2018-04-06,B01,Crayon,Art,7.0,50
2018-04-06,B02,Clay,Art,9.0,20
2018-04-06,C01,Doll,Stress Relief,24.0,100
2018-04-07,A01,Robot,Building,8.0,250
2018-04-07,A02,Lego,Building,2.0,200
2018-04-07,B01,Crayon,Art,5.0,50
2018-04-07,B02,Clay,Art,11.0,20
2018-04-07,C01,Doll,Stress Relief,23.0,100
2018-04-08,A01,Robot,Building,9.0,250
2018-04-08,A02,Lego,Building,2.0,200
2018-04-08,B01,Crayon,Art,7.0,50
2018-04-08,B02,Clay,Art,14.0,20
2018-04-08,C01,Doll,Stress Relief,21.0,100
2018-04-09,A01,Robot,Building,7.0,250
2018-04-09,A02,Lego,Building,3.0,200
2018-04-09,B01,Crayon,Art,5.0,50
2018-04-09,B02,Clay,Art,8.0,20
2018-04-09,C01,Doll,Stress Relief,24.0,100
2018-04-10,A01,Robot,Building,5.0,250
2018-04-10,A02,Lego,Building,2.0,200
2018-04-10,B01,Crayon,Art,2.0,50
2018-04-10,B02,Clay,Art,8.0,20
2018-04-10,C01,Doll,Stress Relief,24.0,100
2018-04-11,A01,Robot,Building,10.0,250
2018-04-11,A02,Lego,Building,2.0,200
2018-04-11,B01,Crayon,Art,7.0,50
2018-04-11,B02,Clay,Art,6.0,20
2018-04-11,C01,Doll,Stress Relief,24.0,100
2018-04-12,A01,Robot,Building,6.0,250
2018-04-12,A02,Lego,Building,3.0,200
2018-04-12,B01,Crayon,Art,7.0,50
2018-04-12,B02,Clay,Art,2.0,20
2018-04-12,C01,Doll,Stress Relief,22.0,100
2018-04-13,A01,Robot,Building,8.0,250
2018-04-13,A02,Lego,Building,3.0,200
2018-04-13,B01,Crayon,Art,6.0,50
2018-04-13,B02,Clay,Art,14.0,20
2018-04-13,C01,Doll,Stress Relief,22.0,100
2018-04-14,A01,Robot,Building,10.0,250
2018-04-14,A02,Lego,Building,2.0,200
2018-04-14,B01,Crayon,Art,1.0,50
2018-04-14,B02,Clay,Art,14.0,20
2018-04-14,C01,Doll,Stress Relief,21.0,100
2018-04-15,A01,Robot,Building,8.0,250
2018-04-15,A02,Lego,Building,3.0,200
2018-04-15,B01,Crayon,Art,5.0,50
2018-04-15,B02,Clay,Art,1.0,20
2018-04-15,C01,Doll,Stress Relief,23.0,100
2018-04-16,A01,Robot,Building,10.0,250
2018-04-16,A02,Lego,Building,2.0,200
2018-04-16,B01,Crayon,Art,5.0,50
2018-04-16,B02,Clay,Art,8.0,20
2018-04-16,C01,Doll,Stress Relief,20.0,100
2018-04-17,A01,Robot,Building,7.0,250
2018-04-17,A02,Lego,Building,2.0,200
2018-04-17,B01,Crayon,Art,5.0,50
2018-04-17,B02,Clay,Art,5.0,20
2018-04-17,C01,Doll,Stress Relief,24.0,100
2018-04-18,A01,Robot,Building,9.0,250
2018-04-18,A02,Lego,Building,3.0,200
2018-04-18,B01,Crayon,Art,7.0,50
2018-04-18,B02,Clay,Art,10.0,20
2018-04-18,C01,Doll,Stress Relief,20.0,100
2018-04-19,A01,Robot,Building,7.0,250
2018-04-19,A02,Lego,Building,2.0,200
2018-04-19,B01,Crayon,Art,6.0,50
2018-04-19,B02,Clay,Art,9.0,20
2018-04-19,C01,Doll,Stress Relief,22.0,100
2018-04-20,A01,Robot,Building,8.0,250
2018-04-20,A02,Lego,Building,3.0,200
2018-04-20,B01,Crayon,Art,6.0,50
2018-04-20,B02,Clay,Art,7.0,20
2018-04-20,C01,Doll,Stress Relief,22.0,100
2018-04-21,A01,Robot,Building,9.0,250
2018-04-21,A02,Lego,Building,2.0,200
2018-04-21,B01,Crayon,Art,6.0,50
2018-04-21,B02,Clay,Art,3.0,20
2018-04-21,C01,Doll,Stress Relief,20.0,100
2018-04-22,A01,Robot,Building,5.0,250
2018-04-22,A02,Lego,Building,3.0,200
2018-04-22,B01,Crayon,Art,3.0,50
2018-04-22,B02,Clay,Art,13.0,20
2018-04-22,C01,Doll,Stress Relief,20.0,100
2018-04-23,A01,Robot,Building,9.0,250
2018-04-23,A02,Lego,Building,2.0,200
2018-04-23,B01,Crayon,Art,4.0,50
2018-04-23,B02,Clay,Art,2.0,20
2018-04-23,C01,Doll,Stress Relief,22.0,100
2018-04-24,A01,Robot,Building,8.0,250
2018-04-24,A02,Lego,Building,3.0,200
2018-04-24,B01,Crayon,Art,5.0,50
2018-04-24,B02,Clay,Art,5.0,20
2018-04-24,C01,Doll,Stress Relief,24.0,100
2018-04-25,A01,Robot,Building,5.0,250
2018-04-25,A02,Lego,Building,2.0,200
2018-04-25,B01,Crayon,Art,4.0,50
2018-04-25,B02,Clay,Art,11.0,20
2018-04-25,C01,Doll,Stress Relief,22.0,100
2018-04-26,A01,Robot,Building,9.0,250
2018-04-26,A02,Lego,Building,3.0,200
2018-04-26,B01,Crayon,Art,1.0,50
2018-04-26,B02,Clay,Art,13.0,20
2018-04-26,C01,Doll,Stress Relief,24.0,100
2018-04-27,A01,Robot,Building,7.0,250
